Date,SPY,TLT
2002-07-30,59.5172271728516,37.8874015808105
2002-07-31,59.6612281799316,38.356819152832
2002-08-01,58.103572845459,38.5752906799316
2002-08-02,56.8011779785156,38.9703063964844
2002-08-05,54.82470703125,39.1422882080078
2002-08-06,56.6703033447266,38.8076477050781
2002-08-07,57.6585350036621,38.9005928039551
2002-08-08,59.5237922668457,38.9005928039551
2002-08-09,59.7463302612305,39.449031829834
2002-08-12,59.3078155517578,39.6906547546387
2002-08-13,58.2279510498047,40.1786842346191
2002-08-14,60.3549423217773,40.3320426940918
2002-08-15,61.1926879882812,39.978816986084
2002-08-16,61.0094413757324,39.5326728820801
2002-08-19,62.4361572265625,39.6534843444824
2002-08-20,61.7751617431641,40.095027923584
2002-08-21,62.6652145385742,39.8812065124512
2002-08-22,63.2738876342773,39.5326728820801
2002-08-23,61.9126014709473,39.9230575561523
2002-08-26,62.344539642334,39.960262298584
2002-08-27,61.6245880126953,39.7092819213867
2002-08-28,60.2764472961426,39.9090995788574
2002-08-29,60.3025856018066,40.229808807373
2002-08-30,60.0670013427734,40.4714889526367
2002-09-03,57.7763328552246,41.0936813354492
2002-09-04,58.600959777832,41.0843734741211
2002-09-05,58.103572845459,41.3083992004395
2002-09-06,58.902042388916,40.8229713439941
2002-09-09,59.333984375,40.7622833251953
2002-09-10,60.0146217346191,40.9583435058594
2002-09-11,59.6415748596191,40.7435913085938
2002-09-12,58.5420799255371,41.0609855651855
2002-09-13,58.6860618591309,41.4390830993652
2002-09-16,58.8300590515137,41.509105682373
2002-09-17,57.4818344116211,41.5884590148926
2002-09-18,56.9059181213379,41.5978088378906
2002-09-19,55.4333572387695,41.8778533935547
2002-09-20,55.4517936706543,41.6818008422852
2002-09-23,54.9981651306152,42.0552101135254
2002-09-24,54.1106605529785,42.3259429931641
2002-09-25,55.4517936706543,41.8124923706055
2002-09-26,56.3589973449707,41.7144737243652
2002-09-27,54.3999633789062,42.0272026062012
2002-09-30,53.7688446044922,42.1952056884766
2002-10-01,56.3524131774902,41.6718864440918
2002-10-02,54.6628799438477,41.9108428955078
2002-10-03,54.1106605529785,41.8077354431152
2002-10-04,53.1180038452148,41.9389266967773
2002-10-07,52.020149230957,42.0092430114746
2002-10-08,52.8352966308594,42.0233001708984
2002-10-09,51.3430137634277,42.2388229370117
2002-10-10,53.0062217712402,41.9061317443848
2002-10-11,55.3268585205078,41.4095077514648
2002-10-14,55.6358451843262,41.3485832214355
2002-10-15,58.3114547729492,40.3693428039551
2002-10-16,56.8980560302734,40.3880996704102
2002-10-17,58.0287628173828,39.8960952758789
2002-10-18,58.2720108032227,39.9992179870605
2002-10-21,59.2778472900391,39.6103172302246
2002-10-22,58.8505325317383,39.497875213623
2002-10-23,59.2975692749023,39.5118789672852
2002-10-24,58.087947845459,39.8586311340332
2002-10-25,59.2975692749023,40.00390625
2002-10-28,58.9097023010254,39.9476585388184
2002-10-29,58.2259788513184,40.4677391052246
2002-10-30,58.7913360595703,40.4536514282227
2002-10-31,58.1931457519531,40.6363906860352
2002-11-01,59.3435974121094,40.4665031433105
2002-11-04,59.9089317321777,40.2876243591309
2002-11-05,60.3822746276855,40.1323509216309
2002-11-06,61.1645622253418,40.2923736572266
2002-11-07,59.6657180786133,41.290153503418
2002-11-08,58.9360122680664,41.6242942810059
2002-11-11,58.022216796875,41.8502197265625
2002-11-12,58.4824104309082,41.6102142333984
2002-11-13,58.5415687561035,41.6996040344238
2002-11-14,59.6459846496582,40.8336181640625
2002-11-15,60.0864715576172,40.998348236084
2002-11-18,59.4816474914551,41.1818733215332
2002-11-19,59.4027099609375,41.3325004577637
2002-11-20,60.7241134643555,40.9277305603027
2002-11-21,61.8548431396484,40.5323791503906
2002-11-22,61.4143981933594,40.4947052001953
2002-11-25,61.4538536071777,40.4194488525391
2002-11-26,60.2836685180664,40.9277305603027
2002-11-27,61.9797744750977,40.0052375793457
2002-11-29,61.7825393676758,40.2640991210938
2002-12-02,61.8811569213867,40.3014984130859
2002-12-03,61.0528144836426,40.358211517334
2002-12-04,60.7767219543457,40.5662384033203
2002-12-05,60.1061782836914,40.6702346801758
2002-12-06,60.5006103515625,40.7411613464355
2002-12-09,58.83740234375,40.9681396484375
2002-12-10,59.6262550354004,41.0769004821777
2002-12-11,59.6788711547852,41.3511047363281
2002-12-12,59.6722793579102,41.3133010864258
2002-12-13,58.7322082519531,40.9113807678223
2002-12-16,60.2508544921875,40.604076385498
2002-12-17,59.7248764038086,40.604076385498
2002-12-18,59.0346450805664,40.9208145141602
2002-12-19,58.6138687133789,41.2849159240723
2002-12-20,59.4502296447754,41.3133010864258
2002-12-23,59.4700622558594,41.3226852416992
2002-12-24,59.0274353027344,41.5544090270996
2002-12-26,59.0538330078125,41.6347923278809
2002-12-27,57.7259788513184,42.0934104919434
2002-12-30,58.2082405090332,42.1926460266113
2002-12-31,58.2875328063965,42.0862464904785
2003-01-02,60.163688659668,40.9980583190918
2003-01-03,60.3486480712891,41.0931205749512
2003-01-06,61.4123344421387,40.9837951660156
2003-01-07,61.2603950500488,41.1311111450195
2003-01-08,60.375129699707,41.3354797363281
2003-01-09,61.3132095336914,40.5418739318848
2003-01-10,61.4783554077148,40.6464462280273
2003-01-13,61.458553314209,40.7129669189453
2003-01-14,61.6567497253418,40.8555335998535
2003-01-15,61.0423622131348,41.0551109313965
2003-01-16,60.7913398742676,41.112117767334
2003-01-17,59.8928604125977,41.3164710998535
2003-01-21,58.9613609313965,41.5540199279785
2003-01-22,58.2478942871094,41.7583503723145
